run_date,region,time,model,n,dry,light,mod,heavy
2026-09-01,수원시권선구,2026-09-01T00:00,ensemble,143,0.014,0.084,0.364,0.538
2026-09-01,수원시권선구,2026-09-01T00:00,icon_seamless_eps,40,0,0,0.275,0.725
2026-09-01,수원시권선구,2026-09-01T00:00,ncep_gefs_seamless,31,0,0.129,0.387,0.484
2026-09-01,수원시권선구,2026-09-01T00:00,ecmwf_ifs025_ensemble,51,0,0.059,0.373,0.569
2026-09-01,수원시권선구,2026-09-01T00:00,gem_global_ensemble,21,0.095,0.238,0.476,0.19
2026-09-01,수원시권선구,2026-09-01T01:00,ensemble,143,0.007,0.175,0.322,0.497
2026-09-01,수원시권선구,2026-09-01T01:00,icon_seamless_eps,40,0,0.025,0.125,0.85
2026-09-01,수원시권선구,2026-09-01T01:00,ncep_gefs_seamless,31,0.032,0.645,0.323,0
2026-09-01,수원시권선구,2026-09-01T01:00,ecmwf_ifs025_ensemble,51,0,0.059,0.451,0.49
2026-09-01,수원시권선구,2026-09-01T01:00,gem_global_ensemble,21,0,0.048,0.381,0.571
2026-09-01,수원시권선구,2026-09-01T02:00,ensemble,143,0.007,0.168,0.357,0.469
2026-09-01,수원시권선구,2026-09-01T02:00,icon_seamless_eps,40,0,0,0.25,0.75
2026-09-01,수원시권선구,2026-09-01T02:00,ncep_gefs_seamless,31,0.032,0.645,0.323,0
2026-09-01,수원시권선구,2026-09-01T02:00,ecmwf_ifs025_ensemble,51,0,0.059,0.451,0.49
2026-09-01,수원시권선구,2026-09-01T02:00,gem_global_ensemble,21,0,0.048,0.381,0.571
2026-09-01,수원시권선구,2026-09-01T03:00,ensemble,143,0.007,0.168,0.364,0.462
2026-09-01,수원시권선구,2026-09-01T03:00,icon_seamless_eps,40,0,0,0.275,0.725
2026-09-01,수원시권선구,2026-09-01T03:00,ncep_gefs_seamless,31,0.032,0.645,0.323,0
2026-09-01,수원시권선구,2026-09-01T03:00,ecmwf_ifs025_ensemble,51,0,0.059,0.451,0.49
2026-09-01,수원시권선구,2026-09-01T03:00,gem_global_ensemble,21,0,0.048,0.381,0.571
2026-09-01,수원시권선구,2026-09-01T04:00,ensemble,143,0.035,0.161,0.476,0.329
2026-09-01,수원시권선구,2026-09-01T04:00,icon_seamless_eps,40,0.025,0.1,0.35,0.525
2026-09-01,수원시권선구,2026-09-01T04:00,ncep_gefs_seamless,31,0.129,0.323,0.548,0
2026-09-01,수원시권선구,2026-09-01T04:00,ecmwf_ifs025_ensemble,51,0,0.078,0.588,0.333
