run_date,region,time,mm
2026-09-01,수원시권선구,2026-08-31T00:00,0
2026-09-01,수원시권선구,2026-08-31T01:00,0.5
2026-09-01,수원시권선구,2026-08-31T02:00,0.8
2026-09-01,수원시권선구,2026-08-31T03:00,2.8
2026-09-01,수원시권선구,2026-08-31T04:00,2.1
2026-09-01,수원시권선구,2026-08-31T05:00,2.5
2026-09-01,수원시권선구,2026-08-31T06:00,1.4
2026-09-01,수원시권선구,2026-08-31T07:00,3.2
2026-09-01,수원시권선구,2026-08-31T08:00,6.1
2026-09-01,수원시권선구,2026-08-31T09:00,2.7
2026-09-01,수원시권선구,2026-08-31T10:00,3
2026-09-01,수원시권선구,2026-08-31T11:00,7
2026-09-01,수원시권선구,2026-08-31T12:00,7.7
2026-09-01,수원시권선구,2026-08-31T13:00,5.8
2026-09-01,수원시권선구,2026-08-31T14:00,9.8
2026-09-01,수원시권선구,2026-08-31T15:00,16.6
2026-09-01,수원시권선구,2026-08-31T16:00,7.7
2026-09-01,수원시권선구,2026-08-31T17:00,3.8
2026-09-01,수원시권선구,2026-08-31T18:00,8.6
2026-09-01,수원시권선구,2026-08-31T19:00,3.8
2026-09-01,수원시권선구,2026-08-31T20:00,2
2026-09-01,수원시권선구,2026-08-31T21:00,4.1
2026-09-01,수원시권선구,2026-08-31T22:00,2.1
2026-09-01,수원시권선구,2026-08-31T23:00,4.5
2026-09-01,성남시수정구,2026-08-31T00:00,0.5
2026-09-01,성남시수정구,2026-08-31T01:00,0.3
2026-09-01,성남시수정구,2026-08-31T02:00,0.4
2026-09-01,성남시수정구,2026-08-31T03:00,1.7
2026-09-01,성남시수정구,2026-08-31T04:00,1.4
2026-09-01,성남시수정구,2026-08-31T05:00,2.2
2026-09-01,성남시수정구,2026-08-31T06:00,1.4
2026-09-01,성남시수정구,2026-08-31T07:00,1.8
2026-09-01,성남시수정구,2026-08-31T08:00,4.3
2026-09-01,성남시수정구,2026-08-31T09:00,3.6
2026-09-01,성남시수정구,2026-08-31T10:00,2.3
2026-09-01,성남시수정구,2026-08-31T11:00,3.5
2026-09-01,성남시수정구,2026-08-31T12:00,4.1
2026-09-01,성남시수정구,2026-08-31T13:00,6.2
2026-09-01,성남시수정구,2026-08-31T14:00,6.7
2026-09-01,성남시수정구,2026-08-31T15:00,6
2026-09-01,성남시수정구,2026-08-31T16:00,4.3
2026-09-01,성남시수정구,2026-08-31T17:00,4
2026-09-01,성남시수정구,2026-08-31T18:00,6
2026-09-01,성남시수정구,2026-08-31T19:00,5.6
2026-09-01,성남시수정구,2026-08-31T20:00,5.2
2026-09-01,성남시수정구,2026-08-31T21:00,5.7
2026-09-01,성남시수정구,2026-08-31T22:00,2.3
2026-09-01,성남시수정구,2026-08-31T23:00,4.1
2026-09-02,수원시권선구,2026-09-01T00:00,5.3
2026-09-02,수원시권선구,2026-09-01T01:00,1.2
2026-09-02,수원시권선구,2026-09-01T02:00,0.7
2026-09-02,수원시권선구,2026-09-01T03:00,3.5
2026-09-02,수원시권선구,2026-09-01T04:00,3.9
2026-09-02,수원시권선구,2026-09-01T05:00,2.5
2026-09-02,수원시권선구,2026-09-01T06:00,1.1
2026-09-02,수원시권선구,2026-09-01T07:00,1.4
2026-09-02,수원시권선구,2026-09-01T08:00,1.6
2026-09-02,수원시권선구,2026-09-01T09:00,1.7
2026-09-02,수원시권선구,2026-09-01T10:00,4
2026-09-02,수원시권선구,2026-09-01T11:00,3.3
2026-09-02,수원시권선구,2026-09-01T12:00,2
2026-09-02,수원시권선구,2026-09-01T13:00,2.7
2026-09-02,수원시권선구,2026-09-01T14:00,3
2026-09-02,수원시권선구,2026-09-01T15:00,1
2026-09-02,수원시권선구,2026-09-01T16:00,0.5
2026-09-02,수원시권선구,2026-09-01T17:00,0.4
2026-09-02,수원시권선구,2026-09-01T18:00,0
2026-09-02,수원시권선구,2026-09-01T19:00,0
2026-09-02,수원시권선구,2026-09-01T20:00,0
2026-09-02,수원시권선구,2026-09-01T21:00,0
2026-09-02,수원시권선구,2026-09-01T22:00,0
2026-09-02,수원시권선구,2026-09-01T23:00,0.1
2026-09-02,성남시수정구,2026-09-01T00:00,2.5
2026-09-02,성남시수정구,2026-09-01T01:00,2.5
2026-09-02,성남시수정구,2026-09-01T02:00,1.9
2026-09-02,성남시수정구,2026-09-01T03:00,5.4
2026-09-02,성남시수정구,2026-09-01T04:00,8
2026-09-02,성남시수정구,2026-09-01T05:00,3.3
2026-09-02,성남시수정구,2026-09-01T06:00,1.5
2026-09-02,성남시수정구,2026-09-01T07:00,1.6
2026-09-02,성남시수정구,2026-09-01T08:00,2.2
2026-09-02,성남시수정구,2026-09-01T09:00,2.9
2026-09-02,성남시수정구,2026-09-01T10:00,2.5
2026-09-02,성남시수정구,2026-09-01T11:00,1.6
2026-09-02,성남시수정구,2026-09-01T12:00,1.6
2026-09-02,성남시수정구,2026-09-01T13:00,2.9
2026-09-02,성남시수정구,2026-09-01T14:00,2.1
2026-09-02,성남시수정구,2026-09-01T15:00,0.3
2026-09-02,성남시수정구,2026-09-01T16:00,0.2
2026-09-02,성남시수정구,2026-09-01T17:00,0
2026-09-02,성남시수정구,2026-09-01T18:00,0
2026-09-02,성남시수정구,2026-09-01T19:00,0
2026-09-02,성남시수정구,2026-09-01T20:00,0
2026-09-02,성남시수정구,2026-09-01T21:00,0
2026-09-02,성남시수정구,2026-09-01T22:00,0.1
2026-09-02,성남시수정구,2026-09-01T23:00,0.1
2026-09-03,수원시권선구,2026-09-02T00:00,0.1
2026-09-03,수원시권선구,2026-09-02T01:00,0.3
2026-09-03,수원시권선구,2026-09-02T02:00,0.1
2026-09-03,수원시권선구,2026-09-02T03:00,0
2026-09-03,수원시권선구,2026-09-02T04:00,0
2026-09-03,수원시권선구,2026-09-02T05:00,0
2026-09-03,수원시권선구,2026-09-02T06:00,0
2026-09-03,수원시권선구,2026-09-02T07:00,0
2026-09-03,수원시권선구,2026-09-02T08:00,0
2026-09-03,수원시권선구,2026-09-02T09:00,0
2026-09-03,수원시권선구,2026-09-02T10:00,0
2026-09-03,수원시권선구,2026-09-02T11:00,0
2026-09-03,수원시권선구,2026-09-02T12:00,0
2026-09-03,수원시권선구,2026-09-02T13:00,0
2026-09-03,수원시권선구,2026-09-02T14:00,0
2026-09-03,수원시권선구,2026-09-02T15:00,0
2026-09-03,수원시권선구,2026-09-02T16:00,0
2026-09-03,수원시권선구,2026-09-02T17:00,0
2026-09-03,수원시권선구,2026-09-02T18:00,0
2026-09-03,수원시권선구,2026-09-02T19:00,0
2026-09-03,수원시권선구,2026-09-02T20:00,0
2026-09-03,수원시권선구,2026-09-02T21:00,0
2026-09-03,수원시권선구,2026-09-02T22:00,0
2026-09-03,수원시권선구,2026-09-02T23:00,0
2026-09-03,성남시수정구,2026-09-02T00:00,0
2026-09-03,성남시수정구,2026-09-02T01:00,0.6
2026-09-03,성남시수정구,2026-09-02T02:00,0.4
2026-09-03,성남시수정구,2026-09-02T03:00,0.1
2026-09-03,성남시수정구,2026-09-02T04:00,0
2026-09-03,성남시수정구,2026-09-02T05:00,0
2026-09-03,성남시수정구,2026-09-02T06:00,0
2026-09-03,성남시수정구,2026-09-02T07:00,0
2026-09-03,성남시수정구,2026-09-02T08:00,0
2026-09-03,성남시수정구,2026-09-02T09:00,0
2026-09-03,성남시수정구,2026-09-02T10:00,0
2026-09-03,성남시수정구,2026-09-02T11:00,0
2026-09-03,성남시수정구,2026-09-02T12:00,0
2026-09-03,성남시수정구,2026-09-02T13:00,0
2026-09-03,성남시수정구,2026-09-02T14:00,0
2026-09-03,성남시수정구,2026-09-02T15:00,0
2026-09-03,성남시수정구,2026-09-02T16:00,0
2026-09-03,성남시수정구,2026-09-02T17:00,0
2026-09-03,성남시수정구,2026-09-02T18:00,0
2026-09-03,성남시수정구,2026-09-02T19:00,0
2026-09-03,성남시수정구,2026-09-02T20:00,0
2026-09-03,성남시수정구,2026-09-02T21:00,0
2026-09-03,성남시수정구,2026-09-02T22:00,0
2026-09-03,성남시수정구,2026-09-02T23:00,0
2026-09-04,수원시권선구,2026-09-03T00:00,0
2026-09-04,수원시권선구,2026-09-03T01:00,0
2026-09-04,수원시권선구,2026-09-03T02:00,0
2026-09-04,수원시권선구,2026-09-03T03:00,0
2026-09-04,수원시권선구,2026-09-03T04:00,0
2026-09-04,수원시권선구,2026-09-03T05:00,0
2026-09-04,수원시권선구,2026-09-03T06:00,0
2026-09-04,수원시권선구,2026-09-03T07:00,0
2026-09-04,수원시권선구,2026-09-03T08:00,0
2026-09-04,수원시권선구,2026-09-03T09:00,0
2026-09-04,수원시권선구,2026-09-03T10:00,0
2026-09-04,수원시권선구,2026-09-03T11:00,0
2026-09-04,수원시권선구,2026-09-03T12:00,0
2026-09-04,수원시권선구,2026-09-03T13:00,0
2026-09-04,수원시권선구,2026-09-03T14:00,0
2026-09-04,수원시권선구,2026-09-03T15:00,0
2026-09-04,수원시권선구,2026-09-03T16:00,0
2026-09-04,수원시권선구,2026-09-03T17:00,0
2026-09-04,수원시권선구,2026-09-03T18:00,0
2026-09-04,수원시권선구,2026-09-03T19:00,0
2026-09-04,수원시권선구,2026-09-03T20:00,0
2026-09-04,수원시권선구,2026-09-03T21:00,0
2026-09-04,수원시권선구,2026-09-03T22:00,0
2026-09-04,수원시권선구,2026-09-03T23:00,0
2026-09-04,성남시수정구,2026-09-03T00:00,0
2026-09-04,성남시수정구,2026-09-03T01:00,0
2026-09-04,성남시수정구,2026-09-03T02:00,0
2026-09-04,성남시수정구,2026-09-03T03:00,0
2026-09-04,성남시수정구,2026-09-03T04:00,0
2026-09-04,성남시수정구,2026-09-03T05:00,0
2026-09-04,성남시수정구,2026-09-03T06:00,0
2026-09-04,성남시수정구,2026-09-03T07:00,0
2026-09-04,성남시수정구,2026-09-03T08:00,0
2026-09-04,성남시수정구,2026-09-03T09:00,0
2026-09-04,성남시수정구,2026-09-03T10:00,0
2026-09-04,성남시수정구,2026-09-03T11:00,0
2026-09-04,성남시수정구,2026-09-03T12:00,0
2026-09-04,성남시수정구,2026-09-03T13:00,0
2026-09-04,성남시수정구,2026-09-03T14:00,0
2026-09-04,성남시수정구,2026-09-03T15:00,0
2026-09-04,성남시수정구,2026-09-03T16:00,0
2026-09-04,성남시수정구,2026-09-03T17:00,0
2026-09-04,성남시수정구,2026-09-03T18:00,0
2026-09-04,성남시수정구,2026-09-03T19:00,0
2026-09-04,성남시수정구,2026-09-03T20:00,0
2026-09-04,성남시수정구,2026-09-03T21:00,0
2026-09-04,성남시수정구,2026-09-03T22:00,0
2026-09-04,성남시수정구,2026-09-03T23:00,0
